epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,87.91006404,1142.66364514,1054.75358101,78.8870020071,1073.0731687,994.186167435
1,73.5697846211,1065.1195866,991.549801833,79.6465746073,1064.73939536,985.092820897
2,69.9015052057,1054.18306431,984.281559235,69.4111860468,1049.92355399,980.512368633
3,67.7879386591,1046.87408882,979.086150207,67.0048302949,1047.2351153,980.23028601
4,66.051702291,1040.53443416,974.482732078,66.4477948608,1038.79600407,972.348209235
5,65.357100516,1036.62628851,971.269187831,66.3582128815,1038.2028352,971.84462493
6,64.7940549836,1033.83130383,969.037248938,64.2266001703,1034.10897261,969.882372066
7,64.370587814,1031.67519714,967.304609105,63.2750076466,1031.07021726,967.79521041
